Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,Car Condition
MarutiCelerioVXI,504699,24060,2019,First Owner,Petrol + CNG,MANUAL,22-01-2022,4.7
Hyundaii20MAGNAO1.4,358999,56549,2014,First Owner,Diesel,MANUAL,10-08-2021,4.6
Hyundaii20SPORTZ1.2,510299,21100,2014,First Owner,Petrol,MANUAL,01-08-2021,4.6
Hyundaii20MAGNAO,325999,48219,2012,First Owner,Petrol,MANUAL,21-11-2021,4.1
Hyundaii10SPORTZ1.2,239599,107693,2013,First Owner,Petrol,MANUAL,29-08-2021,4.2
MarutiVitaraBrezzaZDIPLUSDUAL,783199,35989,2016,First Owner,Diesel,MANUAL,05-07-2021,4.9
MarutiRitz,232999,68342,2012,First Owner,Diesel,MANUAL,Expired,4.3
MarutiRitz,279799,104928,2010,Second Owner,Diesel,MANUAL,21-01-2021,3.9
SkodaSuperbELEGANCE1.8TSI,433399,84474,2012,Third Owner,Petrol,AUTOMATIC,14-03-2021,4.2
MarutiSwiftLXI,470799,61191,2016,Second Owner,Petrol,MANUAL,20-11-2021,4.4
HyundaiSantroXingXLERLXEURO,104289,124360,2007,Second Owner,Petrol,MANUAL,02-10-2021,4.1
HyundaiGrandi10ASTA1.1(O),391199,64460,2014,First Owner,Diesel,MANUAL,15-04-2021,4.4
HyundaiGrandi10MAGNA1.2,372099,49341,2015,First Owner,Petrol,MANUAL,19-04-2021,4.4
HondaCityVMT,657599,65099,2015,Second Owner,Petrol,MANUAL,24-01-2022,4.3
Hyundaii10MAGNA1.1,279599,87828,2012,First Owner,Petrol + LPG,MANUAL,29-09-2021,3.8
HyundaiElitei20SPORTZ,637199,46056,2017,First Owner,Diesel,MANUAL,20-09-2021,4.7
AudiA62.0,1319868,176188,2013,First Owner,Diesel,AUTOMATIC,20-04-2021,4.4
Hyundaii10MAGNA1.2,296899,63546,2011,First Owner,Petrol,MANUAL,28-07-2021,4
Hyundaii10MAGNA1.1,330699,26939,2015,First Owner,Petrol,MANUAL,10-06-2021,4.5
HyundaiCreta1.6E+,801499,26151,2017,First Owner,Petrol,MANUAL,31-05-2021,4.6
RenaultDuster85PS,484699,67407,2015,First Owner,Diesel,MANUAL,Comp,4.5
MarutiOMNIE8,172399,40141,2014,First Owner,Petrol,RJ14,Comp,4.2
MarutiSwift,556363,11784,2018,First Owner,Petrol,MANUAL,Expired,4.9
MarutiWagonR1.0LXI,301599,121435,2013,First Owner,Petrol + CNG,MANUAL,22-11-2022,3.9
Hyundaii20MAGNA1.2,275099,82682,2009,Second Owner,Petrol,MANUAL,19-03-2021,3.9
HyundaiEonDLITE,237899,27748,2013,First Owner,Petrol,MANUAL,02-01-2022,4.4
MarutiWagonR1.0,248899,70903,2010,Second Owner,Petrol + CNG,MANUAL,18-05-2021,4.3
MarutiSwiftDzireVXI1.2BS,538199,78713,2015,First Owner,Petrol,MANUAL,19-04-2021,4.3
MarutiSwiftDzireVXI1.2BS,495899,56518,2013,Second Owner,Petrol,MANUAL,20-02-2021,4.4
Hyundaii20MAGNA1.2,168099,119575,2009,Third Owner,Petrol,MANUAL,17-10-2021,4.5
MarutiCelerio,479500,10412,2019,First Owner,Petrol,MANUAL,08-05-2021,4.8
HondaAmaze1.2EXMTI,330799,71800,2014,First Owner,Petrol,MANUAL,11-02-2021,4.3
HyundaiSantroXingGL,263299,49419,2011,Second Owner,Petrol,MANUAL,27-01-2021,4.3
FordFigo1.4EXI,177499,109104,2013,First Owner,Diesel,MANUAL,30-12-2021,4.1
HyundaiEonERA,338999,3308,2018,First Owner,Petrol,MANUAL,Expired,4.1
MarutiWagonR1.0LXI,322321,43781,2015,First Owner,Petrol + CNG,MANUAL,20-07-2021,4.5
MarutiRitzVXIBS,420299,34146,2013,First Owner,Petrol,MANUAL,11-07-2021,4.2
MarutiCiazZXI,473899,107589,2015,First Owner,Petrol,MANUAL,11-02-2021,4.2
HyundaiElitei20ASTA1.4,561299,79445,2015,First Owner,Diesel,MANUAL,24-03-2021,4.3
HyundaiElitei20SPORTZ,728166,32307,2017,First Owner,Diesel,MANUAL,11-06-2021,4.5
ChevroletBeatPS,144097,98452,2012,Second Owner,Diesel,MANUAL,28-12-2020,4.1
MarutiAltoK10,255299,38617,2012,First Owner,Petrol,MANUAL,23-08-2021,4.5
HondaCitySMT,259899,99003,2009,Second Owner,Petrol,MANUAL,28-02-2021,4.6
MarutiSwiftVDI,390399,92527,2015,First Owner,Diesel,MANUAL,06-09-2021,4.3
HyundaiElitei20MAGNA1.4,514299,169453,2014,First Owner,Diesel,MANUAL,30-11-2021,4.1
MarutiAlto,174699,34854,2010,First Owner,Petrol,MANUAL,Insurance Expired,4
HondaBrio1.2VXMTI,266099,65667,2013,Second Owner,Petrol,MANUAL,22-11-2021,4.1
ToyotaInnova2.5VX8STRBS,926599,143740,2014,Second Owner,Diesel,MANUAL,23-12-2020,4.2
MarutiCiazDELTA1.5SHVS,737299,23999,2018,First Owner,Petrol,GJ27,Third_party,4.6
Hyundaii10MAGNA,180599,89576,2009,Second Owner,Petrol,MANUAL,09-10-2021,4.3
ToyotaCorollaAltisD4D,464899,137352,2011,First Owner,Diesel,MANUAL,31-03-2021,4.2
MarutiErtiga,530899,98137,2015,First Owner,Petrol + CNG,MANUAL,18-06-2021,4.6
HyundaiGrandi10Sportz1.2,486299,41100,2017,First Owner,Diesel,MANUAL,29-11-2021,4.5
MarutiWagonR1.0LXI,346799,56607,2014,First Owner,Petrol + CNG,MANUAL,Comp,4.3
MarutiSX4ZXIMTLEATHERBS,131199,150248,2008,Third Owner,Petrol,MANUAL,01-01-2021,4.3
HyundaiEonERA,204799,83546,2014,Second Owner,Petrol,MANUAL,09-02-2021,3.9
ToyotaEtiosLiva,274499,21763,2011,First Owner,Petrol,MANUAL,17-11-2021,4.7
MarutiSwiftDzireLDIBS,305199,122165,2013,First Owner,Diesel,MANUAL,25-05-2021,4.3
MarutiSwiftDzireVDIBS,352499,46299,2012,First Owner,Diesel,MANUAL,18-11-2021,4.2
MarutiWagonR1.0,318079,18325,2013,First Owner,Petrol,MANUAL,24-10-2021,4.5
SkodaRapid1.6TDIMT,427799,63473,2012,Second Owner,Diesel,MANUAL,29-11-2021,4.3
Hyundaii10,228099,79620,2007,Third Owner,Petrol,MANUAL,23-05-2021,3.8
ToyotaFortuner3.0MT,1045599,96301,2012,Second Owner,Diesel,MANUAL,13-04-2021,4.4
VolkswagenPoloTRENDLINE1.2L,256099,42069,2012,First Owner,Petrol,MANUAL,29-07-2021,4.1
MarutiCelerioVXI,362199,123057,2016,Second Owner,Petrol + CNG,MANUAL,Expired,4.2
HyundaiGrandi10MAGNA1.2KAPPA,413899,34558,2016,First Owner,Petrol,MANUAL,30-03-2021,4.9
MarutiOMNIE8,168699,147413,2015,First Owner,Petrol + LPG,RJ14,Third_party,3.9
MarutiWagonR1.0,267599,32808,2012,First Owner,Petrol,MANUAL,31-07-2021,4
BMW5Series,551681,94020,2008,First Owner,Petrol,AUTOMATIC,22-03-2021,4.2
MarutiSwiftDzireVDIBS,316838,75435,2012,First Owner,Diesel,MANUAL,18-05-2021,4.4
HondaCityVMT,478699,40028,2013,Second Owner,Petrol,MANUAL,Expired,4.3
MarutiSX4,187199,9961,2008,First Owner,Petrol,MANUAL,24-06-2021,4.3
FordEcosport1.5TITANIUMTDCI,440099,151247,2014,First Owner,Diesel,MANUAL,15-07-2021,4.1
MarutiBalenoDELTADDIS,571599,63898,2016,First Owner,Diesel,MANUAL,30-06-2021,4.5
HondaCityVMT,369099,74017,2012,Third Owner,Petrol,MANUAL,31-03-2021,4.4
MarutiBalenoALPHA1.2,524399,76914,2015,First Owner,Petrol,MANUAL,30-10-2021,4.6
MarutiCelerioVXI,535599,9878,2019,First Owner,Petrol + CNG,MANUAL,20-06-2022,4.7
Hyundaii20MAGNA1.2,218799,86164,2009,Second Owner,Petrol,MANUAL,07-02-2021,4.2
MarutiRitz,344399,64475,2015,First Owner,Diesel,MANUAL,01-01-2021,4.6
MarutiAltoK10,322699,8604,2018,First Owner,Petrol,MANUAL,20-02-2021,4.9
MarutiRitz,271299,54237,2013,First Owner,Diesel,MANUAL,12-09-2021,4.4
FordFigo1.4EXI,176499,108709,2014,First Owner,Diesel,MANUAL,Expired,4.3
MarutiSwiftVDI,373299,154513,2015,Second Owner,Diesel,MANUAL,06-05-2021,4.8
HyundaiGrandi10MAGNA1.2KAPPA,383399,35915,2015,First Owner,Petrol,MANUAL,20-10-2021,4.4
ToyotaCorollaAltis1.8,227099,91612,2009,Third Owner,Petrol + CNG,DL4C,Third_party,4.2
TataTIAGOJTP,603340,14039,2019,First Owner,Petrol,TN22,Zero_Dep,4.8
Hyundaii20MAGNA1.2,171699,222973,2010,First Owner,Petrol,MANUAL,07-10-2021,4.2
MarutiSwiftVXI,213413,79169,2009,First Owner,Petrol,MANUAL,21-10-2021,4.2
MarutiSwiftDzireLXI1.2BS,327699,59387,2011,First Owner,Petrol,MANUAL,21-03-2021,4
Hyundaii20SPORTZ1.2,253199,74934,2010,First Owner,Petrol,MANUAL,23-12-2021,4.2
HyundaiVernaFLUIDIC1.6SX,498099,120745,2014,First Owner,Diesel,MANUAL,Expired,4.3
MarutiWagonR1.0,199599,65611,2011,Second Owner,Petrol,MANUAL,Expired,4
HondaCityVMT,423299,136859,2013,First Owner,Petrol,MANUAL,06-02-2021,4.3
MarutiBalenoALPHADDIS,630780,69278,2016,First Owner,Diesel,MANUAL,25-03-2021,4.5
MarutiWagonR1.0,320699,70993,2015,First Owner,Petrol,MANUAL,Expired,4
FordFigo1.2TITANIUM,141599,49821,2010,Third Owner,Petrol,MANUAL,Expired,4.2
RenaultKwid,335999,14665,2019,First Owner,Petrol,MANUAL,16-03-2021,4.4
MarutiBalenoZETA1.2,665315,20333,2017,First Owner,Petrol,MANUAL,19-09-2021,4.9
Hyundaii20ASTA,500599,56580,2014,First Owner,Petrol,MANUAL,30-10-2021,4.2
HondaAmaze1.5SMTI,256399,125008,2013,First Owner,Diesel,MANUAL,16-08-2021,4.7
MarutiSwiftDzireVDIBS,418499,107099,2012,Second Owner,Diesel,MANUAL,20-03-2021,4.2
MarutiBalenoDELTA1.2,453299,90025,2015,First Owner,Petrol,MANUAL,26-01-2021,4.3
ToyotaEtiosLiva,344599,89919,2012,First Owner,Diesel,MANUAL,17-06-2021,4.3
MarutiSwiftDzireVDIBS,449999,42679,2013,First Owner,Diesel,MANUAL,19-07-2021,4.6
MarutiSwiftDzireVDIBS,441299,70192,2012,Second Owner,Diesel,MANUAL,23-05-2021,4.5
MarutiErtiga,605499,24825,2015,First Owner,Diesel,MANUAL,12-03-2021,4.7
MarutiSwift,433099,79144,2014,First Owner,Diesel,MANUAL,12-02-2021,4.6
MarutiSwiftLXI,366699,73411,2015,First Owner,Petrol,MANUAL,15-07-2021,4.4
MahindraTUV300,528099,50455,2017,First Owner,Diesel,MANUAL,24-08-2021,4.6
MarutiAlto,173399,29879,2008,First Owner,Petrol,MANUAL,29-04-2021,4
MarutiOMNIE8,354599,4110,2017,First Owner,Petrol,KA02,Zero_Dep,4
HyundaiCreta1.6SXPLUS,894499,56895,2016,Second Owner,Petrol,HR26,,4.8
HyundaiCreta1.6E+,925999,9294,2019,First Owner,Petrol,MANUAL,24-03-2021,4.9
Hyundaii20SPORTZ1.2,291899,63467,2013,Second Owner,Petrol,MANUAL,06-07-2021,4.5
SkodaFabiaELEGANCE1.2,227999,64274,2010,First Owner,Petrol,MANUAL,20-01-2021,4.1
MarutiSwift,388499,72754,2014,First Owner,Diesel,MANUAL,27-06-2021,4.2
MarutiSwiftLXI,109199,98656,2009,First Owner,Petrol,MANUAL,04-06-2021,4.2
RenaultKwidRXT,301599,40290,2016,First Owner,Petrol,MANUAL,14-07-2021,4.5
HyundaiGrandi10MAGNA1.2KAPPA,335499,42170,2014,Second Owner,Petrol,MANUAL,Expired,4.2
HondaAmaze1.2VXMTI,321799,45278,2013,Second Owner,Petrol,MANUAL,03-05-2021,4.2
RenaultKwidRXT1.0EASY-R,365099,12255,2016,First Owner,Petrol,KA50,Zero_Dep,4.8
MarutiSwift,371399,60422,2013,Second Owner,Diesel,MANUAL,24-11-2021,4.1
Hyundaii10MAGNA1.2,248599,210904,2013,First Owner,Petrol + CNG,MANUAL,07-07-2021,4
MarutiAltoK10LXI,389703,23963,2016,First Owner,Petrol + CNG,MANUAL,11-02-2022,4.8
MarutiDzire,691699,11404,2017,First Owner,Petrol,MANUAL,22-03-2021,4.9
RenaultKwid,379999,38933,2016,First Owner,Petrol,MANUAL,26-11-2021,4.6
RenaultDuster85PS,322068,103665,2013,First Owner,Diesel,MANUAL,09-10-2021,4.4
MahindraXUV500,1167456,49189,2018,First Owner,Diesel,MANUAL,28-09-2021,4.5
VolkswagenPoloHIGHLINE1.5L,592599,59325,2015,First Owner,Diesel,MANUAL,22-07-2021,4.4
MarutiSwiftVDI,429499,66476,2015,First Owner,Diesel,MANUAL,11-11-2021,4.5
MarutiCelerio,232199,148559,2015,First Owner,Diesel,MANUAL,29-07-2021,4.3
Hyundaii10SPORTZ1.2,305199,114748,2012,First Owner,Petrol,MANUAL,Expired,4.3
MahindraXUV500W8,889799,84778,2015,Second Owner,Diesel,MANUAL,19-04-2021,4.6
MarutiWagonR1.0,250499,98462,2012,First Owner,Petrol,MANUAL,23-01-2021,4.3
VolkswagenPoloTRENDLINE1.2L,206083,73625,2012,First Owner,Diesel,MANUAL,25-07-2021,4.3
HyundaiEonERA,186399,129837,2013,First Owner,Petrol + CNG,MANUAL,20-05-2021,3.8
HondaAmaze1.5SXMTI,370899,113188,2014,First Owner,Diesel,MANUAL,09-10-2021,4.3
Hyundaii10MAGNA1.1,221199,33582,2013,Second Owner,Petrol,MANUAL,11-04-2021,4.5
MarutiWagonR1.0,310199,48335,2013,First Owner,Petrol,MANUAL,30-12-2021,4.2
MarutiCiazDELTA1.5SHVSVVT,819699,17483,2018,First Owner,Petrol,DL4C,Comp,4.9
BMWX1SDRIVE,1011799,63035,2013,Second Owner,Diesel,AUTOMATIC,21-05-2021,4.3
HyundaiVernaFLUIDIC1.6SXVTVT,270500,71292,2011,Third Owner,Petrol,MANUAL,Expired,3.9
MarutiSwiftVDI,419699,46856,2015,First Owner,Diesel,MANUAL,27-02-2021,4.5
HyundaiSantroXingGL,254899,20500,2014,First Owner,Petrol + CNG,MANUAL,20-11-2021,4.4
Hyundaii20SPORTZ1.2,309599,78129,2011,First Owner,Petrol,MANUAL,15-02-2021,4.2
Hyundaii10MAGNA1.1,264950,57657,2013,First Owner,Petrol,MANUAL,02-03-2021,3.8
TataTiagoXZ1.05,336599,125598,2017,First Owner,Diesel,MANUAL,16-08-2021,4.2
MarutiRitzVXIABS,282599,45651,2014,First Owner,Petrol,AUTOMATIC,Expired,4.3
HondaCitySVMT,861999,28213,2019,First Owner,Petrol,MANUAL,27-03-2022,4.9
MarutiAlto800,274599,24679,2012,Third Owner,Petrol,MANUAL,12-12-2021,4.3
MarutiAltoK10,214599,58304,2015,Second Owner,Petrol,MANUAL,05-06-2021,4.1
MarutiBalenoALPHA1.2,556999,16232,2016,Second Owner,Petrol,MANUAL,26-08-2021,4
MarutiSwiftDzireVXI1.2BS,459599,70649,2015,First Owner,Petrol,MANUAL,20-07-2021,4.9
HyundaiGrandi10SPORTZ1.2KAPPA,436399,247836,2016,First Owner,Petrol,MANUAL,16-07-2021,4.6
MarutiSwiftDzireVXI1.2BS,384799,95093,2013,First Owner,Petrol,MANUAL,28-03-2021,4.1
ToyotaCorollaH31.8,144099,98229,2007,First Owner,Petrol,MANUAL,20-07-2021,4.2
TataNEXONXZ+,657699,21127,2018,First Owner,Petrol,MANUAL,16-02-2021,4.4
MarutiSwiftDzireVDIBS,516399,32957,2014,First Owner,Diesel,MANUAL,10-06-2021,4.4
HyundaiCreta1.6CRDISXPLUS,1188855,108963,2016,First Owner,Diesel,AUTOMATIC,20-09-2021,4
HyundaiGrandi10SPORTS1.2,436499,6587,2016,First Owner,Petrol,MANUAL,29-08-2021,4.6
RenaultKwid,304827,9495,2016,First Owner,Petrol,MANUAL,02-06-2021,4.8
Hyundaii10SPORTZ1.2,199500,56973,2010,Second Owner,Petrol,AUTOMATIC,17-08-2021,4.2
MarutiSwift,281699,163408,2009,First Owner,Diesel,MANUAL,19-12-2021,4.1
MarutiBalenoDELTADDIS,597099,32865,2016,First Owner,Diesel,MANUAL,08-09-2021,4.6
MarutiWagonR1.0,408399,31796,2015,First Owner,Petrol,MANUAL,23-09-2021,4.3
HondaCitySMT,398999,75713,2010,Second Owner,Petrol + CNG,MANUAL,19-10-2021,4.3
HondaAmaze1.2SMTI,552899,14358,2018,First Owner,Petrol,MANUAL,Expired,4.6
HyundaiGrandi10MAGNA1.2KAPPA,480699,10172,2017,First Owner,Petrol,MANUAL,15-07-2021,4.8
FiatGrandPuntoACTIVE,291099,46437,2014,Second Owner,Diesel,MANUAL,30-08-2021,4.2
HyundaiEonMAGNA,300799,26754,2014,First Owner,Petrol,MANUAL,10-10-2021,4.4
HondaAmaze1.5EMTI,409299,123934,2015,Second Owner,Diesel,MANUAL,31-01-2021,4.3
RenaultDuster85PS,305864,93733,2013,Second Owner,Diesel,MANUAL,02-02-2021,4.3
MarutiSwiftDzireVDIBS,335700,89383,2014,First Owner,Diesel,MANUAL,19-10-2021,4.3
MarutiAlto,111799,98526,2008,Third Owner,Petrol,MANUAL,14-02-2021,4
MarutiAlto,171299,13966,2011,First Owner,Petrol,MANUAL,05-02-2021,4.4
MarutiSwiftLDIBS,246500,123852,2012,First Owner,Diesel,MANUAL,27-06-2021,3.9
MarutiEeco7,289299,27741,2018,First Owner,Petrol,MANUAL,07-08-2021,4.4
MarutiSwift,710064,12889,2019,First Owner,Petrol,MANUAL,09-08-2022,4.9
HyundaiXcentSX,404099,92011,2015,First Owner,Petrol,MANUAL,18-12-2020,4.5
MarutiAlto,133599,72725,2009,Second Owner,Petrol,MANUAL,07-03-2021,4
MarutiAlto800,281399,11110,2017,First Owner,Petrol,MANUAL,05-07-2021,4.7
RenaultDuster85PS,458899,94775,2014,First Owner,Diesel,MANUAL,Expired,3.9
HyundaiXcentS1.2,451244,78612,2015,First Owner,Petrol + CNG,MANUAL,22-06-2021,4.3
RenaultDuster85PS,507799,171979,2015,First Owner,Diesel,MANUAL,17-04-2021,3.8
MarutiSwiftDzireVDIBS,297299,160205,2010,Second Owner,Diesel,MANUAL,30-01-2021,4.1
MarutiAlto,206599,45476,2008,First Owner,Petrol,MANUAL,27-07-2021,4.2
RenaultKwidCLIMBER1.0,315699,34616,2017,First Owner,Petrol,HR26,Comp,4.6
MarutiAlto800,260240,67833,2015,Second Owner,Petrol,MANUAL,02-02-2020,4.2
RenaultKwidRXT1.0EASY-R,406999,24005,2017,First Owner,Petrol,KA53,Comp,4.8
HyundaiEonMAGNA,218399,56350,2013,First Owner,Petrol,MANUAL,Expired,4.5
TataTiagoXZ1.2,526099,25034,2018,First Owner,Petrol,MANUAL,Expired,4.8
MarutiAlto800,299799,38472,2015,First Owner,Petrol,MANUAL,08-09-2021,4.3
HyundaiGrandi10MAGNA1.2KAPPA,429299,45391,2016,First Owner,Petrol,MANUAL,04-10-2021,4.6
Hyundaii20SPORTZO1.4,354899,98304,2012,First Owner,Diesel,MANUAL,Expired,4.5
TataNEXONXM,834599,1424,2019,First Owner,Petrol,MANUAL,07-01-2023,4.9
MarutiVitaraBrezza,584199,59715,2016,First Owner,Diesel,MANUAL,Expired,4.6
MarutiAlto800,343899,23598,2016,First Owner,Petrol,MANUAL,29-06-2021,4.9
HyundaiSantroXingGL,250699,39601,2012,First Owner,Petrol,MANUAL,Comp,4.4
HondaCity1.5EMT,396199,74247,2012,First Owner,Petrol,MH02,Comp,4.2
ToyotaEtiosVX,309199,52194,2012,Second Owner,Diesel,MANUAL,25-03-2021,4.3
HondaAmaze1.2SMTI,631799,10129,2018,First Owner,Petrol,MANUAL,26-01-2021,4.9
MarutiAlto800,254199,12702,2016,Second Owner,Petrol,MANUAL,01-12-2021,4.8
HyundaiSantroXingXOERLXEURO,224499,69390,2007,Second Owner,Petrol,MANUAL,22-07-2021,4
MarutiErtigaVDI,736599,25046,2017,First Owner,Diesel,MANUAL,27-04-2021,4.8
MarutiBalenoDELTA1.2,539599,27670,2017,First Owner,Petrol,MANUAL,Expired,4.5
HyundaiAccentEXECUTIVE,169955,136284,2012,Second Owner,Petrol + CNG,MANUAL,01-07-2021,4.1
MarutiAltoK10,320299,65190,2014,First Owner,Petrol,MANUAL,17-09-2021,4.2
HondaCitySMT,420300,65403,2011,First Owner,Petrol,MANUAL,19-08-2021,4.8
FordFigo1.2TITANIUM,266186,81196,2010,First Owner,Petrol,MANUAL,15-12-2021,4.2
MarutiSCrossSIGMA,505399,85657,2015,First Owner,Diesel,MANUAL,19-08-2021,4.6
RenaultKwidRXT1.0EASY-RAT,384199,22247,2017,First Owner,Petrol,AUTOMATIC,Expired,4.8
HondaCityVMT,639999,48559,2014,First Owner,Petrol,MANUAL,10-06-2021,4.3
MarutiAltoK10VXI,297799,29156,2015,Second Owner,Petrol,MH05,,4.4
HondaBrio1.2SMTI,286599,18255,2012,Second Owner,Petrol,MANUAL,Expired,4.6
MarutiBalenoDELTA1.2,630899,10055,2018,First Owner,Petrol,MANUAL,15-11-2020,4.8
MarutiAltoK10,343999,11976,2017,First Owner,Petrol,MANUAL,30-12-2020,4.9
MarutiVitaraBrezzaZDI+,898099,16194,2018,First Owner,Diesel,AUTOMATIC,Zero_Dep,4.9
VolkswagenPoloHIGHLINE1.2L,290799,120996,2013,First Owner,Diesel,MANUAL,01-05-2021,4.7
MarutiEeco5STRWITHAC,413999,21932,2017,First Owner,Petrol,MANUAL,Expired,4.4
MarutiAlto800,345199,8526,2016,First Owner,Petrol,MANUAL,27-10-2021,4.7
HondaAmaze1.5EMTI,380240,55490,2014,First Owner,Diesel,MANUAL,29-03-2021,4.1
MarutiDzireVXI,560999,42167,2017,First Owner,Petrol,AUTOMATIC,08-07-2020,4.8
MarutiAlto800,244180,66047,2013,Second Owner,Petrol,MANUAL,24-05-2020,4.1
HyundaiGrandi10SPORTS1.2,374435,56923,2016,Second Owner,Petrol,MANUAL,Insurance Expired,4.3
RenaultDusterRXZAMT110,701799,130303,2016,First Owner,Diesel,AUTOMATIC,10-05-2021,4.2
Hyundaii20MAGNAO1.4,346099,75654,2013,First Owner,Diesel,MANUAL,02-04-2021,4.2
HyundaiGrandi10SPORTZ1.2KAPPA,322699,66962,2014,Second Owner,Petrol,MANUAL,27-09-2021,4.2
RenaultKwid,354229,9895,2018,First Owner,Petrol,MANUAL,20-12-2021,4.9
FordNewFigo1.5TITANIUMAT,549399,11328,2018,First Owner,Petrol,PB91,Zero_Dep,5
SkodaSuperbELEGANCETDI2.0,494115,119652,2012,Second Owner,Diesel,DL8C,Comprehensive,3.9
HondaCityV,418599,50304,2012,First Owner,Petrol,AUTOMATIC,04-10-2021,4.1
Hyundaii20SPORTZ1.2,341799,38013,2012,First Owner,Petrol,MANUAL,21-07-2021,3.8
MahindraXUV500,945699,72363,2015,First Owner,Diesel,MANUAL,02-10-2021,4.6
HyundaiXcentS,441599,40878,2015,Second Owner,Petrol,MANUAL,17-10-2021,4.3
TataTiagoXZ1.2,378099,69312,2016,First Owner,Petrol,MANUAL,27-01-2021,4.5
MarutiCelerioVXI(O),469299,23482,2016,First Owner,Petrol,AUTOMATIC,04-12-2020,4.7
HyundaiElitei20ASTA1.4,494699,137913,2015,First Owner,Diesel,MANUAL,28-06-2021,4
MarutiSwiftZXI,632999,37208,2018,First Owner,Petrol,AUTOMATIC,03-06-2021,4.6
MarutiSwiftDzireZXI1.2BS,595399,58291,2015,First Owner,Petrol,MANUAL,30-12-2020,4.3
MarutiSwiftDzireVXI1.2BS,296500,40302,2012,Second Owner,Petrol,MANUAL,29-03-2021,4.3
HyundaiElitei20ASTA1.2,585299,18711,2017,Second Owner,Petrol,MANUAL,Expired,4.5
MarutiBalenoDELTA1.2,503399,42568,2016,First Owner,Petrol,MANUAL,29-11-2020,4.5
MarutiWagonR1.0,166999,48954,2010,First Owner,Petrol,MANUAL,05-01-2021,3.5
MarutiWagonRVXIBS,127599,65402,2007,Second Owner,Petrol,MANUAL,04-10-2021,3.8
MarutiWagonR,283199,76036,2010,Second Owner,Petrol,MANUAL,31-03-2021,4.4
MarutiAltoK10,260899,24013,2016,First Owner,Petrol,MANUAL,30-12-2021,4.6
BMW3Series,534399,63649,2011,Second Owner,Diesel,AUTOMATIC,Expired,4.3
ToyotaEtiosLiva,326356,133608,2012,First Owner,Diesel,MANUAL,30-05-2021,4.3
HondaCityVMT,262499,80190,2009,First Owner,Petrol,MANUAL,13-11-2021,4.1
MahindraTUV300,513299,90651,2017,First Owner,Diesel,MANUAL,01-02-2021,4
MarutiSwiftDzireVXI1.2BS,357799,53264,2012,First Owner,Petrol,MANUAL,21-10-2021,4
MarutiZenEstilo,172599,47307,2010,First Owner,Petrol,MANUAL,Expired,3.8
MarutiSwiftDzireVDIBS,357799,121017,2011,First Owner,Diesel,MANUAL,28-03-2021,4.3
MarutiSwift,391099,164757,2012,First Owner,Diesel,MANUAL,30-01-2021,4
HondaAccord2.4ATI,306999,59142,2008,First Owner,Petrol,AUTOMATIC,Insurance Expired,4.3
MarutiSwiftDzire,408499,75468,2013,First Owner,Diesel,MANUAL,27-08-2021,4.5
MarutiSwiftDzireVDIBS,604299,59826,2015,First Owner,Diesel,MANUAL,21-02-2021,4.5
MarutiAltoK10,324099,17712,2018,Second Owner,Petrol,MANUAL,27-10-2021,4.7
MarutiAlto,188147,44132,2008,First Owner,Petrol,MANUAL,Expired,3.9
MarutiCelerioVXI,390499,60850,2016,First Owner,Petrol + CNG,MANUAL,28-03-2021,4.5
HondaCitySMT,297099,114682,2009,First Owner,Petrol,MANUAL,29-03-2021,4.3
MarutiWagonR1.0VXI,383199,38639,2017,First Owner,Petrol,AUTOMATIC,25-10-2021,4.8
Hyundaii20MAGNA1.2,287165,84373,2009,First Owner,Petrol,MANUAL,Expired,3.7
ToyotaEtios,308799,43802,2012,First Owner,Diesel,MANUAL,20-04-2021,4.2
TataNanoTWIST,206899,14401,2015,Third Owner,Petrol,AUTOMATIC,Expired,4.7
HyundaiGrandi10SPORTZ1.1,315364,128627,2013,First Owner,Diesel,MANUAL,04-10-2021,4.3
HondaCitySMT,353999,83929,2012,First Owner,Petrol,MANUAL,14-06-2021,4
MarutiDzire,729299,21642,2019,First Owner,Diesel,MANUAL,27-09-2022,4.8
MarutiAlto800LXI,235599,66248,2014,First Owner,Petrol + CNG,MANUAL,16-10-2021,4.3
FordFigo1.2ZXI,194540,124564,2011,First Owner,Petrol,MANUAL,22-08-2021,4.2
MarutiWagonR1.0,356099,18584,2013,First Owner,Petrol,MANUAL,22-05-2021,4.3
HyundaiGrandi10MAGNA1.2KAPPA,344616,16316,2014,First Owner,Petrol,MANUAL,30-07-2021,4.6
MarutiAltoK10,200699,33423,2012,First Owner,Petrol,MANUAL,08-08-2021,4.1
MercedesBenzGLAClass200CDI,1654999,79207,2016,First Owner,Diesel,MANUAL,13-09-2021,4.6
MarutiSwift,311399,34524,2011,First Owner,Petrol,MANUAL,Expired,4.4
MarutiSwiftDzireVXI1.2BS,416099,83575,2014,First Owner,Petrol,MANUAL,17-10-2021,4.3
MarutiBalenoDELTA1.2,604499,9862,2019,First Owner,Petrol,MANUAL,04-10-2021,4.9
MarutiEeco5STRWITHAC,458699,27277,2019,First Owner,Petrol + CNG,MANUAL,15-03-2021,4.7
HondaBrio1.2SMTI,272999,87755,2012,First Owner,Petrol,MANUAL,20-07-2021,4
